,N,E,Directed?,Weighted?,alpha_f_PR,alpha_r_PR,beta_r_BPR,Type
Random_15010_0.00019986675549633578_5,15010,45147,True,False,0.000322,0.176471,0.2855,Random
Random_15010_0.00019986675549633578_6,15010,45336,True,False,0.000283,0.20979,0.3075,Random
Random_15010_0.00019986675549633578_7,15010,45184,True,False,0.000564,0.177778,0.2965,Random
Random_15010_0.00019986675549633578_8,15010,45345,True,False,0.000411,0.195077,0.2915,Random
Random_15010_0.00019986675549633578_9,15010,45060,True,False,0.000437,0.194444,0.3005,Random
Random_15010_0.00033311125916055963_0,15010,75214,True,False,0.000152,0.242284,0.3305,Random
Random_15010_0.00033311125916055963_1,15010,74920,True,False,0.000986,0.289323,0.3635,Random
Random_15010_0.00033311125916055963_2,15010,75281,True,False,0.000152,0.256776,0.3475,Random
Random_15010_0.00033311125916055963_3,15010,74446,True,False,6.1e-05,0.250447,0.3465,Random
Random_15010_0.00033311125916055963_4,15010,75074,True,False,0.000868,0.224577,0.3235,Random
Random_15010_0.00033311125916055963_5,15010,75140,True,False,0.000297,0.262801,0.3455,Random
Random_15010_0.00033311125916055963_6,15010,74537,True,False,0.000103,0.264317,0.3555,Random
Random_15010_0.00033311125916055963_7,15010,75024,True,False,0.000209,0.278484,0.3615,Random
Random_15010_0.00033311125916055963_8,15010,75170,True,False,0.000289,0.206439,0.3145,Random
Random_15010_0.00033311125916055963_9,15010,74662,True,False,0.000962,0.261845,0.3575,Random
Random_16010_0.00018738288569643974_0,16010,48039,True,False,0.000665,0.199336,0.2925,Random
Random_16010_0.00018738288569643974_1,16010,47893,True,False,0.000575,0.218978,0.3105,Random
Random_16010_0.00018738288569643974_2,16010,48294,True,False,0.000221,0.204778,0.3155,Random
Random_16010_0.00018738288569643974_3,16010,48213,True,False,0.000548,0.190476,0.3145,Random
Random_16010_0.00018738288569643974_4,16010,48110,True,False,0.000847,0.2,0.2975,Random
Random_16010_0.00018738288569643974_5,16010,48006,True,False,0.000399,0.197368,0.2995,Random
Random_16010_0.00018738288569643974_6,16010,47815,True,False,2.7e-05,0.214104,0.3115,Random
Random_16010_0.00018738288569643974_7,16010,48115,True,False,0.000911,0.193192,0.2855,Random
Random_16010_0.00018738288569643974_8,16010,47639,True,False,0.000387,0.176471,0.2875,Random
Random_16010_0.00018738288569643974_9,16010,47668,True,False,0.000509,0.181818,0.3025,Random
Random_16010_0.0003123048094940662_0,16010,80299,True,False,1.9e-05,0.273794,0.3515,Random
Random_16010_0.0003123048094940662_1,16010,80302,True,False,0.000375,0.248374,0.3495,Random
Random_16010_0.0003123048094940662_2,16010,80073,True,False,3.7e-05,0.275772,0.3625,Random
Random_16010_0.0003123048094940662_3,16010,80269,True,False,0.000102,0.29703,0.3625,Random
Random_16010_0.0003123048094940662_4,16010,80161,True,False,0.00098,0.204778,0.3225,Random
Random_16010_0.0003123048094940662_5,16010,79985,True,False,0.000428,0.245255,0.3465,Random
Random_16010_0.0003123048094940662_6,16010,80165,True,False,8.8e-05,0.1934,0.3075,Random
Random_16010_0.0003123048094940662_7,16010,80629,True,False,0.000432,0.248472,0.3425,Random
Random_16010_0.0003123048094940662_8,16010,80465,True,False,0.000645,0.25416,0.3375,Random
Random_16010_0.0003123048094940662_9,16010,79789,True,False,0.000614,0.249851,0.3265,Random
Random_17010_0.0001763668430335097_0,17010,51013,True,False,4.1e-05,0.1875,0.3045,Random
Random_17010_0.0001763668430335097_1,17010,50899,True,False,0.000848,0.208886,0.3075,Random
Random_17010_0.0001763668430335097_2,17010,51216,True,False,0.000682,0.178042,0.2915,Random
Random_17010_0.0001763668430335097_3,17010,50697,True,False,0.00033,0.189274,0.2965,Random
Random_17010_0.0001763668430335097_4,17010,51151,True,False,0.000152,0.1849,0.3045,Random
Random_17010_0.0001763668430335097_5,17010,51259,True,False,0.000665,0.194175,0.3105,Random
Random_17010_0.0001763668430335097_6,17010,50759,True,False,0.000585,0.206897,0.3025,Random
Random_17010_0.0001763668430335097_7,17010,51277,True,False,0.00047,0.1875,0.3065,Random
Random_17010_0.0001763668430335097_8,17010,51303,True,False,0.000929,0.188679,0.2905,Random
Random_17010_0.0001763668430335097_9,17010,51231,True,False,0.000822,0.19544,0.2995,Random
Random_17010_0.00029394473838918284_0,17010,84935,True,False,0.000608,0.250721,0.3395,Random
Random_17010_0.00029394473838918284_1,17010,84753,True,False,0.000916,0.258671,0.3305,Random
Random_17010_0.00029394473838918284_2,17010,85188,True,False,0.000526,0.273764,0.3505,Random
Random_17010_0.00029394473838918284_3,17010,84812,True,False,0.00035,0.244328,0.3345,Random
Random_17010_0.00029394473838918284_4,17010,84852,True,False,0.000175,0.236998,0.3335,Random
Random_17010_0.00029394473838918284_5,17010,85148,True,False,0.000133,0.236976,0.3355,Random
Random_17010_0.00029394473838918284_6,17010,85123,True,False,0.000387,0.238772,0.3365,Random
Random_17010_0.00029394473838918284_7,17010,85149,True,False,0.000513,0.253165,0.3415,Random
Random_17010_0.00029394473838918284_8,17010,84998,True,False,0.000554,0.254036,0.3295,Random
Random_17010_0.00029394473838918284_9,17010,84993,True,False,0.000652,0.28552,0.3665,Random
Random_18010_0.0001665741254858412_0,18010,53889,True,False,0.000935,0.215385,0.3065,Random
Random_18010_0.0001665741254858412_1,18010,54048,True,False,0.000597,0.198675,0.3065,Random
Random_18010_0.0001665741254858412_2,18010,54138,True,False,0.000557,0.210526,0.3145,Random
Random_18010_0.0001665741254858412_3,18010,53642,True,False,0.000474,0.194805,0.3025,Random
Random_18010_0.0001665741254858412_4,18010,53901,True,False,0.000534,0.20202,0.3005,Random
Random_18010_0.0001665741254858412_5,18010,54090,True,False,0.000554,0.169697,0.2685,Random
Random_18010_0.0001665741254858412_6,18010,54152,True,False,0.000514,0.209059,0.3065,Random
Random_18010_0.0001665741254858412_7,18010,54088,True,False,0.000562,0.220588,0.3155,Random
Random_18010_0.0001665741254858412_8,18010,53806,True,False,0.000681,0.193192,0.3075,Random
Random_18010_0.0001665741254858412_9,18010,53888,True,False,0.000216,0.156425,0.2745,Random
Random_18010_0.000277623542476402_0,18010,90232,True,False,0.000172,0.215735,0.3195,Random
Random_18010_0.000277623542476402_1,18010,90234,True,False,0.000845,0.221753,0.3155,Random
Random_18010_0.000277623542476402_2,18010,90495,True,False,0.000685,0.266469,0.3645,Random
Random_18010_0.000277623542476402_3,18010,90023,True,False,0.000796,0.277778,0.3645,Random
Random_18010_0.000277623542476402_4,18010,90285,True,False,0.000919,0.238343,0.3315,Random
Random_18010_0.000277623542476402_5,18010,89867,True,False,0.000435,0.225362,0.3225,Random
Random_18010_0.000277623542476402_6,18010,90010,True,False,0.000269,0.233333,0.3245,Random
Random_18010_0.000277623542476402_7,18010,89856,True,False,0.000125,0.2622,0.3365,Random
Random_18010_0.000277623542476402_8,18010,90065,True,False,0.000407,0.228364,0.3385,Random
Random_18010_0.000277623542476402_9,18010,89789,True,False,0.000552,0.237557,0.3275,Random
Random_19010_0.00015781167806417674_0,19010,57322,True,False,0.000174,0.211268,0.3065,Random
Random_19010_0.00015781167806417674_1,19010,56961,True,False,0.000567,0.197647,0.3145,Random
Random_19010_0.00015781167806417674_2,19010,56969,True,False,0.00059,0.184615,0.2935,Random
Random_19010_0.00015781167806417674_3,19010,56592,True,False,0.000828,0.19544,0.3065,Random
Random_19010_0.00015781167806417674_4,19010,56644,True,False,0.000672,0.2,0.2835,Random
Random_19010_0.00015781167806417674_5,19010,56559,True,False,0.000753,0.190996,0.2985,Random
Random_19010_0.00015781167806417674_6,19010,56751,True,False,0.000285,0.208696,0.3085,Random
Random_19010_0.00015781167806417674_7,19010,57303,True,False,0.000757,0.175439,0.2725,Random
Random_19010_0.00015781167806417674_8,19010,57103,True,False,0.000791,0.192926,0.3015,Random
Random_19010_0.00015781167806417674_9,19010,57624,True,False,0.000957,0.210526,0.3145,Random
Random_19010_0.0002630194634402946_0,19010,94376,True,False,0.000707,0.24131,0.3315,Random
Random_19010_0.0002630194634402946_1,19010,95043,True,False,0.000983,0.258621,0.3565,Random
Random_19010_0.0002630194634402946_2,19010,94979,True,False,0.000229,0.207254,0.3045,Random
Random_19010_0.0002630194634402946_3,19010,95229,True,False,0.000428,0.233247,0.3375,Random
Random_19010_0.0002630194634402946_4,19010,95067,True,False,0.000472,0.267971,0.3545,Random
Random_19010_0.0002630194634402946_5,19010,94469,True,False,0.000669,0.265879,0.3355,Random
Random_19010_0.0002630194634402946_6,19010,95373,True,False,0.000802,0.221286,0.3275,Random
Random_19010_0.0002630194634402946_7,19010,94817,True,False,0.000657,0.203916,0.3135,Random
Random_19010_0.0002630194634402946_8,19010,95809,True,False,0.000482,0.250896,0.3465,Random
Random_19010_0.0002630194634402946_9,19010,94829,True,False,0.000799,0.28404,0.3685,Random
ScaleFree_10_0.3_0,1000,2030,True,False,0.000162,0.005223,0.0505,ScaleFree
ScaleFree_10_0.3_1,1000,1916,True,False,0.000281,0.002933,0.0385,ScaleFree
ScaleFree_10_0.3_2,1000,1973,True,False,2.2e-05,0.002809,0.0375,ScaleFree
ScaleFree_10_0.3_3,1000,1911,True,False,0.000316,0.00266,0.0365,ScaleFree
ScaleFree_10_0.3_4,1000,1991,True,False,3.2e-05,0.003816,0.0435,ScaleFree
ScaleFree_10_0.3_5,1000,2087,True,False,0.000108,0.00391,0.0445,ScaleFree
ScaleFree_10_0.3_6,1000,1770,True,False,7.3e-05,0.002666,0.0365,ScaleFree
ScaleFree_10_0.3_7,1000,2133,True,False,5.1e-05,0.005103,0.0505,ScaleFree
ScaleFree_10_0.3_8,1000,2016,True,False,7.8e-05,0.004939,0.0495,ScaleFree
ScaleFree_10_0.3_9,1000,2060,True,False,0.000595,0.00769,0.0625,ScaleFree
ScaleFree_10_0.5_0,1000,1687,True,False,0.000108,0.005312,0.0515,ScaleFree
ScaleFree_10_0.5_1,1000,1656,True,False,0.00055,0.003628,0.0425,ScaleFree
ScaleFree_10_0.5_2,1000,1666,True,False,3.7e-05,0.004764,0.0485,ScaleFree
ScaleFree_10_0.5_3,1000,1647,True,False,6.4e-05,0.006537,0.0565,ScaleFree
ScaleFree_10_0.5_4,1000,1604,True,False,5.3e-05,0.003387,0.0415,ScaleFree
ScaleFree_10_0.5_5,1000,1565,True,False,1.8e-05,0.003615,0.0425,ScaleFree
ScaleFree_10_0.5_6,1000,1649,True,False,4e-05,0.003169,0.0395,ScaleFree
ScaleFree_10_0.5_7,1000,1537,True,False,3.6e-05,0.003116,0.0395,ScaleFree
ScaleFree_10_0.5_8,1000,1614,True,False,0.000619,0.003754,0.0435,ScaleFree
ScaleFree_10_0.5_9,1000,1635,True,False,0.000153,0.004633,0.0485,ScaleFree
ScaleFree_1010_0.3_0,1000,1897,True,False,0.000304,0.005197,0.0515,ScaleFree
ScaleFree_1010_0.3_1,1000,1988,True,False,2.8e-05,0.003335,0.0405,ScaleFree
ScaleFree_1010_0.3_2,1000,1992,True,False,0.000361,0.004787,0.0495,ScaleFree
ScaleFree_1010_0.3_3,1000,2050,True,False,6.4e-05,0.005948,0.0545,ScaleFree
ScaleFree_1010_0.3_4,1000,2008,True,False,9.9e-05,0.005098,0.0505,ScaleFree
ScaleFree_1010_0.3_5,1000,1979,True,False,0.000408,0.003399,0.0415,ScaleFree
ScaleFree_1010_0.3_6,1000,1988,True,False,2e-05,0.004965,0.0495,ScaleFree
ScaleFree_1010_0.3_7,1000,1955,True,False,2.2e-05,0.004999,0.0505,ScaleFree
ScaleFree_1010_0.3_8,1000,2020,True,False,7.9e-05,0.00562,0.0535,ScaleFree
ScaleFree_1010_0.3_9,1000,2037,True,False,7.2e-05,0.00441,0.0465,ScaleFree
ScaleFree_1010_0.5_0,1000,1682,True,False,0.000961,0.005039,0.0505,ScaleFree
ScaleFree_1010_0.5_1,1000,1623,True,False,0.000134,0.006313,0.0555,ScaleFree
ScaleFree_1010_0.5_2,1000,1595,True,False,0.000132,0.003821,0.0435,ScaleFree
ScaleFree_1010_0.5_3,1000,1501,True,False,0.000447,0.002521,0.0355,ScaleFree
ScaleFree_1010_0.5_4,1000,1639,True,False,0.00013,0.005251,0.0515,ScaleFree
ScaleFree_1010_0.5_5,1000,1515,True,False,1.4e-05,0.002973,0.0385,ScaleFree
ScaleFree_1010_0.5_6,1000,1638,True,False,1.2e-05,0.00397,0.0445,ScaleFree
ScaleFree_1010_0.5_7,1000,1618,True,False,7.2e-05,0.004772,0.0485,ScaleFree
ScaleFree_1010_0.5_8,1000,1530,True,False,0.000127,0.002554,0.0355,ScaleFree
ScaleFree_1010_0.5_9,1000,1695,True,False,2.7e-05,0.004649,0.0485,ScaleFree
ScaleFree_2010_0.3_0,1000,1988,True,False,0.000199,0.00443,0.0475,ScaleFree
ScaleFree_2010_0.3_1,1000,1894,True,False,7.9e-05,0.003456,0.0415,ScaleFree
ScaleFree_2010_0.3_2,1000,1873,True,False,2.6e-05,0.003644,0.0425,ScaleFree
ScaleFree_2010_0.3_3,1000,1968,True,False,0.0,0.003221,0.0405,ScaleFree
ScaleFree_2010_0.3_4,1000,1899,True,False,0.0,0.002924,0.0385,ScaleFree
ScaleFree_2010_0.3_5,1000,1988,True,False,0.000167,0.005556,0.0525,ScaleFree
ScaleFree_2010_0.3_6,1000,2151,True,False,7.4e-05,0.005773,0.0535,ScaleFree
ScaleFree_2010_0.3_7,1000,2059,True,False,0.000111,0.004342,0.0465,ScaleFree
ScaleFree_2010_0.3_8,1000,2250,True,False,0.000337,0.006647,0.0575,ScaleFree
ScaleFree_2010_0.3_9,1000,1962,True,False,0.000216,0.003495,0.0415,ScaleFree
ScaleFree_2010_0.5_0,1000,1623,True,False,7.6e-05,0.004968,0.0495,ScaleFree
ScaleFree_2010_0.5_1,1000,1753,True,False,0.000203,0.004446,0.0475,ScaleFree
ScaleFree_2010_0.5_2,1000,1661,True,False,4.1e-05,0.005341,0.0515,ScaleFree
ScaleFree_2010_0.5_3,1000,1537,True,False,7.6e-05,0.002794,0.0375,ScaleFree
ScaleFree_2010_0.5_4,1000,1576,True,False,0.000207,0.003196,0.0395,ScaleFree
ScaleFree_2010_0.5_5,1000,1759,True,False,5.1e-05,0.005716,0.0535,ScaleFree
ScaleFree_2010_0.5_6,1000,1667,True,False,4.5e-05,0.006986,0.0595,ScaleFree
ScaleFree_2010_0.5_7,1000,1616,True,False,1.2e-05,0.004001,0.0445,ScaleFree
ScaleFree_2010_0.5_8,1000,1587,True,False,0.000107,0.003276,0.0405,ScaleFree
ScaleFree_2010_0.5_9,1000,1689,True,False,1.2e-05,0.004744,0.0485,ScaleFree
ScaleFree_3010_0.3_0,1000,1954,True,False,2.8e-05,0.004826,0.0495,ScaleFree
ScaleFree_3010_0.3_1,1000,1940,True,False,0.000393,0.003603,0.0425,ScaleFree
ScaleFree_3010_0.3_2,1000,1921,True,False,0.000136,0.003218,0.0405,ScaleFree
ScaleFree_3010_0.3_3,1000,2137,True,False,0.000338,0.005465,0.0525,ScaleFree
ScaleFree_3010_0.3_4,1000,2179,True,False,0.000208,0.007563,0.0615,ScaleFree
ScaleFree_3010_0.3_5,1000,2139,True,False,2.5e-05,0.004158,0.0455,ScaleFree
ScaleFree_3010_0.3_6,1000,1913,True,False,7.7e-05,0.003281,0.0405,ScaleFree
ScaleFree_3010_0.3_7,1000,2094,True,False,0.000141,0.004526,0.0475,ScaleFree
ScaleFree_3010_0.3_8,1000,2263,True,False,2.7e-05,0.006897,0.0585,ScaleFree
ScaleFree_3010_0.3_9,1000,2149,True,False,3.7e-05,0.004989,0.0505,ScaleFree
ScaleFree_3010_0.5_0,1000,1686,True,False,3.9e-05,0.004623,0.0485,ScaleFree
ScaleFree_3010_0.5_1,1000,1668,True,False,0.000292,0.004763,0.0485,ScaleFree
ScaleFree_3010_0.5_2,1000,1627,True,False,6e-05,0.004185,0.0455,ScaleFree
ScaleFree_3010_0.5_3,1000,1538,True,False,1.1e-05,0.002455,0.0355,ScaleFree
ScaleFree_3010_0.5_4,1000,1519,True,False,0.000729,0.003209,0.0405,ScaleFree
ScaleFree_3010_0.5_5,1000,1724,True,False,0.000118,0.006693,0.0575,ScaleFree
ScaleFree_3010_0.5_6,1000,1540,True,False,0.000304,0.002678,0.0365,ScaleFree
ScaleFree_3010_0.5_7,1000,1598,True,False,5.9e-05,0.003465,0.0415,ScaleFree
ScaleFree_3010_0.5_8,1000,1585,True,False,5e-05,0.003421,0.0415,ScaleFree
ScaleFree_3010_0.5_9,1000,1644,True,False,0.000213,0.004199,0.0455,ScaleFree
ScaleFree_4010_0.3_0,1000,2238,True,False,4.8e-05,0.007131,0.0605,ScaleFree
ScaleFree_4010_0.3_1,1000,2090,True,False,0.000401,0.005776,0.0535,ScaleFree
ScaleFree_4010_0.3_2,1000,1986,True,False,8e-06,0.004732,0.0485,ScaleFree
ScaleFree_4010_0.3_3,1000,2053,True,False,0.000714,0.004072,0.0455,ScaleFree
ScaleFree_4010_0.3_4,1000,2217,True,False,7.9e-05,0.005693,0.0535,ScaleFree
ScaleFree_4010_0.3_5,1000,2083,True,False,0.000286,0.005127,0.0505,ScaleFree
ScaleFree_4010_0.3_6,1000,1990,True,False,4e-06,0.004896,0.0495,ScaleFree
ScaleFree_4010_0.3_7,1000,1967,True,False,9e-06,0.00376,0.0435,ScaleFree
ScaleFree_4010_0.3_8,1000,1976,True,False,0.000486,0.004057,0.0455,ScaleFree
ScaleFree_4010_0.3_9,1000,1895,True,False,0.000163,0.002587,0.0365,ScaleFree
ScaleFree_4010_0.5_0,1000,1683,True,False,0.000134,0.006915,0.0585,ScaleFree
ScaleFree_4010_0.5_1,1000,1705,True,False,9e-05,0.003889,0.0445,ScaleFree
ScaleFree_4010_0.5_2,1000,1585,True,False,3.6e-05,0.004165,0.0455,ScaleFree
ScaleFree_4010_0.5_3,1000,1641,True,False,6.2e-05,0.00468,0.0485,ScaleFree
ScaleFree_4010_0.5_4,1000,1579,True,False,0.00021,0.003837,0.0435,ScaleFree
ScaleFree_4010_0.5_5,1000,1629,True,False,5.6e-05,0.007183,0.0595,ScaleFree
ScaleFree_4010_0.5_6,1000,1703,True,False,0.000136,0.005381,0.0525,ScaleFree
ScaleFree_4010_0.5_7,1000,1525,True,False,0.000137,0.002836,0.0375,ScaleFree
ScaleFree_4010_0.5_8,1000,1635,True,False,0.000333,0.004767,0.0485,ScaleFree
ScaleFree_4010_0.5_9,1000,1706,True,False,0.0,0.005161,0.0505,ScaleFree
ScaleFree_5010_0.3_0,1000,2072,True,False,4e-06,0.005621,0.0535,ScaleFree
ScaleFree_5010_0.3_1,1000,1914,True,False,2.9e-05,0.003832,0.0435,ScaleFree
ScaleFree_5010_0.3_2,1000,1959,True,False,0.000382,0.002857,0.0375,ScaleFree
ScaleFree_5010_0.3_3,1000,2027,True,False,0.000779,0.004273,0.0465,ScaleFree
ScaleFree_5010_0.3_4,1000,2053,True,False,0.00016,0.003713,0.0435,ScaleFree
ScaleFree_5010_0.3_5,1000,2091,True,False,0.000518,0.004519,0.0475,ScaleFree
ScaleFree_5010_0.3_6,1000,1984,True,False,0.000181,0.004714,0.0485,ScaleFree
ScaleFree_5010_0.3_7,1000,1950,True,False,0.000146,0.00369,0.0435,ScaleFree
ScaleFree_5010_0.3_8,1000,1985,True,False,4.3e-05,0.002809,0.0375,ScaleFree
ScaleFree_5010_0.3_9,1000,2068,True,False,0.00051,0.004216,0.0465,ScaleFree
ScaleFree_5010_0.5_0,1000,1543,True,False,0.000533,0.002359,0.0345,ScaleFree
ScaleFree_5010_0.5_1,1000,1643,True,False,0.000213,0.004176,0.0455,ScaleFree
ScaleFree_5010_0.5_2,1000,1682,True,False,3.6e-05,0.003745,0.0435,ScaleFree
ScaleFree_5010_0.5_3,1000,1719,True,False,0.00022,0.006099,0.0555,ScaleFree
ScaleFree_5010_0.5_4,1000,1620,True,False,0.000198,0.005109,0.0505,ScaleFree
ScaleFree_5010_0.5_5,1000,1695,True,False,0.000238,0.006148,0.0545,ScaleFree
ScaleFree_5010_0.5_6,1000,1540,True,False,2.2e-05,0.003105,0.0395,ScaleFree
ScaleFree_5010_0.5_7,1000,1538,True,False,0.000167,0.003661,0.0425,ScaleFree
ScaleFree_5010_0.5_8,1000,1644,True,False,7.4e-05,0.004168,0.0455,ScaleFree
ScaleFree_5010_0.5_9,1000,1567,True,False,3.2e-05,0.003576,0.0425,ScaleFree
ScaleFree_6010_0.3_0,1000,2164,True,False,0.000191,0.003249,0.0405,ScaleFree
ScaleFree_6010_0.3_1,1000,1880,True,False,0.000951,0.002662,0.0365,ScaleFree
ScaleFree_6010_0.3_2,1000,1987,True,False,0.000211,0.004634,0.0475,ScaleFree
ScaleFree_6010_0.3_3,1000,2021,True,False,0.000376,0.004616,0.0485,ScaleFree
ScaleFree_6010_0.3_4,1000,2058,True,False,0.000329,0.005368,0.0515,ScaleFree
ScaleFree_6010_0.3_5,1000,2006,True,False,1.4e-05,0.004166,0.0455,ScaleFree
ScaleFree_6010_0.3_6,1000,2003,True,False,9.5e-05,0.005306,0.0515,ScaleFree
ScaleFree_6010_0.3_7,1000,2157,True,False,0.000349,0.005134,0.0505,ScaleFree
ScaleFree_6010_0.3_8,1000,1975,True,False,7.7e-05,0.003136,0.0395,ScaleFree
ScaleFree_6010_0.3_9,1000,2035,True,False,2.7e-05,0.003808,0.0435,ScaleFree
ScaleFree_6010_0.5_0,1000,1679,True,False,5.9e-05,0.005181,0.0495,ScaleFree
ScaleFree_6010_0.5_1,1000,1621,True,False,6.1e-05,0.003923,0.0445,ScaleFree
ScaleFree_6010_0.5_2,1000,1751,True,False,0.000704,0.007045,0.0595,ScaleFree
ScaleFree_6010_0.5_3,1000,1555,True,False,0.000211,0.002913,0.0385,ScaleFree
ScaleFree_6010_0.5_4,1000,1566,True,False,1.1e-05,0.003403,0.0415,ScaleFree
ScaleFree_6010_0.5_5,1000,1649,True,False,4.8e-05,0.004047,0.0445,ScaleFree
ScaleFree_6010_0.5_6,1000,1667,True,False,0.000366,0.005654,0.0525,ScaleFree
ScaleFree_6010_0.5_7,1000,1591,True,False,3.9e-05,0.004045,0.0445,ScaleFree
ScaleFree_6010_0.5_8,1000,1600,True,False,1.7e-05,0.003737,0.0435,ScaleFree
ScaleFree_6010_0.5_9,1000,1566,True,False,0.000116,0.003547,0.0425,ScaleFree
ScaleFree_7010_0.3_0,1000,2196,True,False,2e-06,0.005886,0.0545,ScaleFree
ScaleFree_7010_0.3_1,1000,2096,True,False,0.000293,0.005454,0.0525,ScaleFree
ScaleFree_7010_0.3_2,1000,1841,True,False,7.2e-05,0.002812,0.0375,ScaleFree
ScaleFree_7010_0.3_3,1000,2088,True,False,0.000103,0.007373,0.0605,ScaleFree
ScaleFree_7010_0.3_4,1000,2033,True,False,1e-05,0.005554,0.0525,ScaleFree
ScaleFree_7010_0.3_5,1000,1982,True,False,0.000599,0.004456,0.0475,ScaleFree
ScaleFree_7010_0.3_6,1000,1926,True,False,0.000224,0.00406,0.0455,ScaleFree
ScaleFree_7010_0.3_7,1000,2060,True,False,0.000142,0.004633,0.0485,ScaleFree
ScaleFree_7010_0.3_8,1000,2114,True,False,9.2e-05,0.005145,0.0505,ScaleFree
ScaleFree_7010_0.3_9,1000,2038,True,False,0.000218,0.004217,0.0465,ScaleFree
ScaleFree_7010_0.5_0,1000,1699,True,False,8.9e-05,0.006056,0.0545,ScaleFree
ScaleFree_7010_0.5_1,1000,1616,True,False,0.000115,0.003448,0.0415,ScaleFree
ScaleFree_7010_0.5_2,1000,1622,True,False,3.5e-05,0.003494,0.0415,ScaleFree
ScaleFree_7010_0.5_3,1000,1691,True,False,2e-06,0.00465,0.0485,ScaleFree
ScaleFree_7010_0.5_4,1000,1648,True,False,3.5e-05,0.004792,0.0485,ScaleFree
ScaleFree_7010_0.5_5,1000,1645,True,False,0.000112,0.00427,0.0465,ScaleFree
ScaleFree_7010_0.5_6,1000,1684,True,False,0.000383,0.006895,0.0585,ScaleFree
ScaleFree_7010_0.5_7,1000,1688,True,False,9.9e-05,0.004926,0.0495,ScaleFree
ScaleFree_7010_0.5_8,1000,1714,True,False,0.000228,0.0068,0.0585,ScaleFree
ScaleFree_7010_0.5_9,1000,1664,True,False,0.000316,0.004257,0.0465,ScaleFree
ScaleFree_8010_0.3_0,1000,2155,True,False,0.000304,0.00519,0.0515,ScaleFree
ScaleFree_8010_0.3_1,1000,2131,True,False,0.000106,0.0043,0.0465,ScaleFree
ScaleFree_8010_0.3_2,1000,2075,True,False,8.6e-05,0.004805,0.0495,ScaleFree
ScaleFree_8010_0.3_3,1000,1979,True,False,0.000527,0.003369,0.0415,ScaleFree
ScaleFree_8010_0.3_4,1000,2087,True,False,2.5e-05,0.005121,0.0505,ScaleFree
ScaleFree_8010_0.3_5,1000,1956,True,False,0.00024,0.002826,0.0375,ScaleFree
ScaleFree_8010_0.3_6,1000,2220,True,False,0.000143,0.006187,0.0555,ScaleFree
ScaleFree_8010_0.3_7,1000,2089,True,False,5e-06,0.003347,0.0415,ScaleFree
ScaleFree_8010_0.3_8,1000,1986,True,False,0.000131,0.00426,0.0465,ScaleFree
ScaleFree_8010_0.3_9,1000,1953,True,False,5e-05,0.004081,0.0455,ScaleFree
ScaleFree_8010_0.5_0,1000,1616,True,False,4.4e-05,0.003137,0.0395,ScaleFree
ScaleFree_8010_0.5_1,1000,1553,True,False,0.000487,0.003462,0.0415,ScaleFree
ScaleFree_8010_0.5_2,1000,1640,True,False,4.5e-05,0.00525,0.0515,ScaleFree
ScaleFree_8010_0.5_3,1000,1555,True,False,0.000445,0.003512,0.0415,ScaleFree
ScaleFree_8010_0.5_4,1000,1622,True,False,9.3e-05,0.003591,0.0425,ScaleFree
ScaleFree_8010_0.5_5,1000,1661,True,False,0.000111,0.005974,0.0545,ScaleFree
ScaleFree_8010_0.5_6,1000,1551,True,False,4.8e-05,0.003082,0.0395,ScaleFree
ScaleFree_8010_0.5_7,1000,1630,True,False,0.000585,0.005105,0.0505,ScaleFree
ScaleFree_8010_0.5_8,1000,1667,True,False,8e-05,0.00424,0.0465,ScaleFree
ScaleFree_8010_0.5_9,1000,1568,True,False,0.000158,0.004898,0.0495,ScaleFree
ScaleFree_9010_0.3_0,1000,2103,True,False,3.2e-05,0.004532,0.0475,ScaleFree
ScaleFree_9010_0.3_1,1000,1876,True,False,6.5e-05,0.003151,0.0395,ScaleFree
ScaleFree_9010_0.3_2,1000,1856,True,False,7.4e-05,0.0033,0.0405,ScaleFree
ScaleFree_9010_0.3_3,1000,2029,True,False,0.000213,0.004725,0.0485,ScaleFree
ScaleFree_9010_0.3_4,1000,2022,True,False,8.7e-05,0.004729,0.0485,ScaleFree
ScaleFree_9010_0.3_5,1000,2025,True,False,7.2e-05,0.003409,0.0415,ScaleFree
ScaleFree_9010_0.3_6,1000,2032,True,False,4e-06,0.005929,0.0545,ScaleFree
ScaleFree_9010_0.3_7,1000,2020,True,False,3.8e-05,0.003551,0.0425,ScaleFree
ScaleFree_9010_0.3_8,1000,2284,True,False,0.000127,0.008322,0.0645,ScaleFree
ScaleFree_9010_0.3_9,1000,1954,True,False,5e-06,0.003358,0.0415,ScaleFree
ScaleFree_9010_0.5_0,1000,1543,True,False,0.00061,0.002808,0.0375,ScaleFree
ScaleFree_9010_0.5_1,1000,1678,True,False,0.000559,0.005366,0.0515,ScaleFree
ScaleFree_9010_0.5_2,1000,1712,True,False,2.5e-05,0.008017,0.0635,ScaleFree
ScaleFree_9010_0.5_3,1000,1765,True,False,8.6e-05,0.007023,0.0595,ScaleFree
ScaleFree_9010_0.5_4,1000,1623,True,False,0.000105,0.003349,0.0415,ScaleFree
ScaleFree_9010_0.5_5,1000,1684,True,False,0.000262,0.004571,0.0475,ScaleFree
